
23, 2, 19, 14, 0, 
18, 13, 22, 3, 20, 
9, 24, 11, 6, 15, 
12, 17, 8, 21, 4, 
25, 10, 5, 16, 7, 

23, 2, 21, 16, 25, 
20, 15, 24, 3, 12, 
9, 22, 13, 6, 17, 
14, 19, 8, 11, 4, 
0, 10, 5, 18, 7, 

23, 2, 13, 18, 0, 
14, 17, 22, 3, 12, 
9, 24, 15, 6, 19, 
16, 21, 8, 11, 4, 
25, 10, 5, 20, 7, 

23, 2, 13, 20, 0, 
14, 19, 22, 3, 12, 
9, 24, 17, 6, 21, 
18, 15, 8, 11, 4, 
25, 10, 5, 16, 7, 

23, 2, 17, 12, 0, 
16, 9, 22, 3, 18, 
21, 24, 11, 6, 13, 
10, 15, 8, 19, 4, 
25, 20, 5, 14, 7, 

21, 2, 15, 10, 0, 
14, 11, 20, 3, 16, 
19, 22, 13, 6, 9, 
12, 7, 24, 17, 4, 
23, 18, 5, 8, 25, 

23, 2, 15, 10, 25, 
14, 11, 24, 3, 16, 
19, 22, 13, 6, 9, 
12, 7, 20, 17, 4, 
21, 18, 5, 8, 0, 

21, 2, 15, 10, 0, 
14, 7, 20, 3, 16, 
19, 22, 9, 6, 11, 
8, 13, 24, 17, 4, 
23, 18, 5, 12, 25, 

23, 2, 15, 10, 25, 
14, 7, 24, 3, 16, 
19, 22, 9, 6, 11, 
8, 13, 20, 17, 4, 
21, 18, 5, 12, 0, 

21, 2, 7, 12, 0, 
8, 13, 20, 3, 16, 
19, 22, 15, 6, 11, 
14, 9, 24, 17, 4, 
23, 18, 5, 10, 25, 

23, 2, 7, 12, 25, 
8, 13, 24, 3, 16, 
19, 22, 15, 6, 11, 
14, 9, 20, 17, 4, 
21, 18, 5, 10, 0, 

0, 2, 19, 8, 13, 
20, 7, 12, 3, 22, 
25, 18, 21, 14, 9, 
6, 11, 16, 23, 4, 
17, 24, 5, 10, 15, 

0, 2, 21, 8, 13, 
22, 7, 12, 3, 20, 
25, 18, 23, 14, 9, 
6, 11, 16, 19, 4, 
17, 24, 5, 10, 15, 

0, 2, 21, 8, 13, 
20, 7, 12, 3, 22, 
17, 24, 19, 14, 9, 
6, 11, 16, 23, 4, 
25, 18, 5, 10, 15, 

25, 2, 21, 8, 13, 
20, 7, 12, 3, 22, 
17, 24, 19, 14, 9, 
6, 11, 16, 23, 4, 
0, 18, 5, 10, 15, 

0, 2, 23, 8, 13, 
22, 7, 12, 3, 20, 
17, 24, 21, 14, 9, 
6, 11, 16, 19, 4, 
25, 18, 5, 10, 15, 

25, 2, 23, 8, 13, 
22, 7, 12, 3, 20, 
17, 24, 21, 14, 9, 
6, 11, 16, 19, 4, 
0, 18, 5, 10, 15, 

25, 2, 15, 8, 13, 
16, 7, 12, 3, 18, 
21, 24, 17, 14, 9, 
6, 11, 22, 19, 4, 
23, 20, 5, 10, 0, 

0, 2, 17, 8, 25, 
16, 7, 12, 3, 18, 
13, 20, 15, 24, 9, 
6, 11, 22, 19, 4, 
21, 14, 5, 10, 23, 

25, 2, 19, 8, 0, 
18, 7, 12, 3, 16, 
13, 24, 17, 20, 9, 
6, 11, 22, 15, 4, 
23, 14, 5, 10, 21, 

0, 2, 19, 8, 25, 
18, 7, 12, 3, 16, 
13, 20, 17, 24, 9, 
6, 11, 22, 15, 4, 
21, 14, 5, 10, 23, 

13, 2, 15, 8, 25, 
16, 7, 12, 3, 18, 
21, 14, 17, 24, 9, 
6, 11, 22, 19, 4, 
0, 20, 5, 10, 23, 

13, 2, 17, 8, 25, 
18, 7, 12, 3, 16, 
21, 14, 19, 24, 9, 
6, 11, 22, 15, 4, 
0, 20, 5, 10, 23, 

13, 2, 19, 8, 0, 
20, 7, 12, 3, 22, 
25, 14, 21, 18, 9, 
6, 11, 16, 23, 4, 
15, 24, 5, 10, 17, 

13, 2, 23, 8, 25, 
22, 7, 12, 3, 20, 
17, 14, 21, 24, 9, 
6, 11, 16, 19, 4, 
15, 18, 5, 10, 0, 

13, 2, 23, 8, 0, 
22, 7, 12, 3, 20, 
17, 14, 21, 24, 9, 
6, 11, 16, 19, 4, 
15, 18, 5, 10, 25, 

25, 2, 17, 8, 13, 
18, 7, 14, 3, 16, 
21, 24, 19, 12, 9, 
6, 11, 22, 15, 4, 
23, 20, 5, 10, 0, 

0, 2, 19, 8, 13, 
18, 7, 14, 3, 20, 
15, 22, 17, 12, 9, 
6, 11, 24, 21, 4, 
23, 16, 5, 10, 25, 

0, 2, 21, 8, 13, 
20, 7, 14, 3, 18, 
15, 22, 19, 12, 9, 
6, 11, 24, 17, 4, 
23, 16, 5, 10, 25, 

15, 2, 17, 8, 13, 
18, 7, 14, 3, 20, 
23, 16, 19, 12, 9, 
6, 11, 24, 21, 4, 
0, 22, 5, 10, 25, 

15, 2, 17, 8, 13, 
18, 7, 14, 3, 20, 
23, 16, 19, 12, 9, 
6, 11, 24, 21, 4, 
25, 22, 5, 10, 0, 

15, 2, 19, 8, 13, 
20, 7, 14, 3, 18, 
23, 16, 21, 12, 9, 
6, 11, 24, 17, 4, 
0, 22, 5, 10, 25, 

15, 2, 19, 8, 13, 
20, 7, 14, 3, 18, 
23, 16, 21, 12, 9, 
6, 11, 24, 17, 4, 
25, 22, 5, 10, 0, 

15, 2, 23, 8, 13, 
22, 7, 14, 3, 24, 
19, 16, 21, 12, 9, 
6, 11, 18, 25, 4, 
17, 20, 5, 10, 0, 

15, 2, 25, 8, 13, 
24, 7, 14, 3, 22, 
19, 16, 23, 12, 9, 
6, 11, 18, 21, 4, 
17, 20, 5, 10, 0, 

15, 2, 23, 8, 13, 
24, 7, 14, 3, 22, 
19, 16, 25, 12, 9, 
6, 11, 18, 21, 4, 
17, 20, 5, 10, 0, 

0, 2, 17, 8, 25, 
18, 7, 24, 3, 20, 
23, 16, 19, 12, 9, 
6, 11, 14, 21, 4, 
15, 22, 5, 10, 13, 

25, 2, 17, 8, 0, 
18, 7, 24, 3, 20, 
23, 16, 19, 12, 9, 
6, 11, 14, 21, 4, 
15, 22, 5, 10, 13, 

0, 2, 19, 8, 25, 
20, 7, 24, 3, 18, 
23, 16, 21, 12, 9, 
6, 11, 14, 17, 4, 
15, 22, 5, 10, 13, 

25, 2, 19, 8, 0, 
20, 7, 24, 3, 18, 
23, 16, 21, 12, 9, 
6, 11, 14, 17, 4, 
15, 22, 5, 10, 13, 

17, 2, 21, 8, 0, 
22, 7, 18, 3, 20, 
25, 16, 23, 12, 9, 
6, 11, 14, 19, 4, 
15, 24, 5, 10, 13, 

17, 2, 23, 8, 0, 
22, 7, 18, 3, 24, 
19, 16, 21, 12, 9, 
6, 11, 14, 25, 4, 
15, 20, 5, 10, 13, 

17, 2, 25, 8, 0, 
24, 7, 18, 3, 22, 
19, 16, 23, 12, 9, 
6, 11, 14, 21, 4, 
15, 20, 5, 10, 13, 

17, 2, 23, 8, 0, 
24, 7, 18, 3, 22, 
19, 16, 25, 12, 9, 
6, 11, 14, 21, 4, 
15, 20, 5, 10, 13, 

23, 2, 19, 8, 25, 
18, 7, 24, 3, 20, 
15, 22, 17, 12, 9, 
6, 11, 14, 21, 4, 
0, 16, 5, 10, 13, 

23, 2, 19, 8, 0, 
18, 7, 22, 3, 20, 
15, 24, 17, 12, 9, 
6, 11, 14, 21, 4, 
25, 16, 5, 10, 13, 

23, 2, 21, 8, 25, 
20, 7, 24, 3, 18, 
15, 22, 19, 12, 9, 
6, 11, 14, 17, 4, 
0, 16, 5, 10, 13, 

21, 2, 13, 8, 0, 
14, 7, 20, 3, 16, 
19, 22, 15, 12, 9, 
6, 11, 24, 17, 4, 
23, 18, 5, 10, 25, 

23, 2, 13, 8, 25, 
14, 7, 24, 3, 16, 
19, 22, 15, 12, 9, 
6, 11, 20, 17, 4, 
21, 18, 5, 10, 0, 

